timestamps,Fz,C3,Cz,C4,Pz,PO7,Oz,PO8,stim
1775427315.6124847,236497.03125,718753.125,260084.46875,719327.875,719179.8125,248052.78125,219532.234375,226063.234375,0.0
1775427315.614509,236492.015625,718751.75,260082.3125,719325.9375,719178.5,248059.5,219534.015625,226050.625,0.0
1775427315.6174588,236498.09375,718754.0625,260084.015625,719327.4375,719180.625,248066.46875,219537.5,226035.6875,0.0
1775427315.6263423,236501.9375,718753.375,260084.640625,719327.4375,719180.625,248070.578125,219538.046875,226055.1875,0.0
1775427315.6312432,236505.421875,718755.9375,260081.6875,719330.5,719183.0625,248062.890625,219536.515625,226091.125,0.0
1775427315.6343968,236501.40625,718758.3125,260077.21875,719332.625,719184.6875,248066.734375,219535.171875,226097.5625,0.0
1775427315.634474,236495.6875,718757.1875,260071.5,719331.125,719183.75,248061.90625,219529.546875,226068.5,0.0
1775427315.6356852,236494.796875,718758.9375,260067.828125,719333.0625,719185.625,248062.171875,219531.328125,226093.1875,0.0
1775427315.6387036,236498.28125,718761.75,260065.328125,719336.5625,719188.3125,248064.40625,219535.53125,226124.65625,0.0
1775427315.641994,236498.359375,718761.25,260059.34375,719335.875,719187.375,248063.515625,219536.703125,226146.734375,0.0
1775427315.6422112,236498.984375,718758.4375,260057.015625,719332.875,719184.75,248067.890625,219535.53125,226100.328125,0.0
1775427315.6458955,236502.484375,718759.4375,260054.78125,719334.4375,719186.125,248067.1875,219534.828125,226122.6875,0.0
1775427315.65024,236503.375,718761.4375,260055.046875,719336.1875,719188.0625,248070.484375,219534.640625,226146.828125,0.0
1775427315.6503155,236508.921875,718762.6875,260058.171875,719337.3125,719189.125,248077.203125,219540.0,226180.890625,0.0
1775427315.6612012,236499.4375,718760.6875,260049.140625,719335.125,719187.1875,248073.796875,219537.40625,226121.796875,0.0
1775427315.6639872,236493.8125,718758.75,260038.859375,719333.5,719185.3125,248066.015625,219531.953125,226115.625,0.0
1775427315.6641004,236496.3125,718761.75,260040.46875,719336.6875,719188.75,248070.046875,219535.265625,226130.546875,0.0
1775427315.66619,236506.59375,718766.0625,260045.65625,719341.25,719193.1875,248075.234375,219546.71875,226174.546875,0.0
1775427315.6746666,236499.890625,718764.125,260040.296875,719338.8125,719190.6875,248077.640625,219547.421875,226127.328125,0.0
1775427315.680578,236503.90625,718763.3125,260038.421875,719337.75,719189.875,248076.65625,219544.484375,226121.609375,0.0
1775427315.6806557,236502.296875,718764.875,260035.46875,719339.3125,719190.9375,248079.609375,219540.71875,226132.875,0.0
1775427315.6908758,236508.375,718768.75,260036.90625,719343.4375,719195.0625,248079.609375,219544.203125,226174.0,0.0
1775427315.6942785,236504.09375,718766.0625,260032.875,719340.875,719192.625,248081.75,219543.21875,226133.0625,0.0
1775427315.6943653,236514.90625,718767.0625,260036.0,719341.875,719193.5,248084.96875,219548.5,226125.09375,0.0
1775427315.6959517,236508.109375,718765.0,260022.328125,719339.9375,719191.625,248074.953125,219543.21875,226131.8125,0.0
1775427315.702571,236511.6875,718767.5625,260023.84375,719342.8125,719194.0625,248076.921875,219546.359375,226176.859375,0.0
1775427315.711789,236506.328125,718768.125,260018.921875,719343.375,719194.5625,248080.5,219544.828125,226163.90625,0.0
1775427315.71192,236508.203125,718766.6875,260016.609375,719341.6875,719193.3125,248083.453125,219546.09375,226130.640625,0.0
1775427315.7178805,236509.71875,718766.5,260014.640625,719341.125,719193.25,248084.96875,219545.8125,226137.609375,0.0
1775427315.7179368,236513.125,718771.0,260016.875,719345.625,719197.4375,248089.796875,219549.484375,226179.640625,0.0
1775427315.719818,236504.171875,718772.125,260010.171875,719347.0,719198.8125,248083.28125,219547.515625,226180.796875,0.0
1775427315.7297516,236502.828125,718770.375,260004.53125,719345.25,719196.9375,248079.515625,219545.109375,226139.140625,0.0
1775427315.7341225,236504.359375,718769.9375,260000.25,719344.5,719196.3125,248078.8125,219542.953125,226150.3125,0.0
1775427315.7341778,236513.75,718769.125,260003.8125,719343.4375,719195.375,248080.59375,219552.171875,226174.09375,0.0
1775427315.7428305,236513.390625,718771.5,260002.484375,719346.3125,719197.75,248086.3125,219560.390625,226196.984375,0.0
1775427315.7429261,236510.4375,718770.8125,259997.921875,719345.4375,719197.4375,248091.671875,219558.875,226149.0625,0.0
1775427315.749055,236517.59375,718774.125,259997.921875,719348.5625,719200.5625,248094.546875,219561.28125,226166.140625,0.0
1775427315.7491603,236513.203125,718775.4375,259990.765625,719350.0,719201.5,248087.125,219558.875,226182.765625,0.0
1775427315.7556973,236511.421875,718777.25,259986.203125,719352.0625,719203.6875,248083.453125,219558.15625,226220.859375,0.0
1775427315.7557745,236504.625,718773.3125,259979.671875,719348.125,719199.9375,248082.296875,219555.03125,226160.140625,0.0
1775427315.7685485,236509.09375,718774.1875,259979.671875,719349.1875,719200.5,248084.078125,219558.0625,226158.625,0.0
1775427315.780738,236508.5625,718774.75,259980.84375,719349.4375,719201.375,248087.65625,219559.5,226161.578125,0.0
1775427315.7808175,236511.0625,718774.8125,259979.5,719349.875,719201.625,248088.90625,219560.921875,226195.109375,0.0
1775427315.785462,236500.78125,718772.3125,259969.046875,719347.6875,719199.125,248085.234375,219551.984375,226142.359375,0.0
1775427315.7855148,236512.84375,718774.8125,259974.3125,719350.5,719202.125,248089.09375,219555.921875,226138.6875,0.0
1775427315.7872405,236514.1875,718776.8125,259973.78125,719352.3125,719203.6875,248090.15625,219562.171875,226140.203125,0.0
1775427315.79231,236514.375,718775.4375,259971.0,719351.0625,719202.625,248090.421875,219561.828125,226163.359375,0.0
1775427315.7947412,236504.984375,718769.1875,259961.0,719345.0,719196.5625,248089.4375,219557.625,226111.421875,0.0
1775427315.7975864,236509.0,718770.625,259960.015625,719345.625,719196.9375,248086.140625,219558.609375,226092.015625,0.0
1775427315.799954,236507.390625,718775.1875,259955.8125,719349.625,719201.125,248083.546875,219560.125,226097.46875,0.0
1775427315.8041377,236508.109375,718777.0,259951.0625,719352.1875,719204.0,248083.28125,219559.046875,226125.71875,0.0
1775427315.804191,236500.515625,718773.75,259942.75,719349.0,719200.9375,248081.484375,219553.234375,226103.1875,0.0
1775427315.8176105,236509.0,718773.375,259946.6875,719348.125,719199.9375,248086.3125,219557.0,226064.125,0.0
1775427315.8176565,236511.0625,718773.3125,259943.109375,719348.125,719200.125,248082.828125,219557.4375,226070.828125,0.0
1775427315.8364577,236513.75,718775.75,259941.6875,719350.8125,719203.0625,248081.484375,219558.609375,226096.578125,0.0
1775427315.836536,236509.265625,718776.0,259937.296875,719350.875,719203.0,248084.34375,219558.15625,226095.0625,0.0
1775427315.8365605,236505.703125,718772.75,259934.625,719347.6875,719199.75,248083.546875,219558.6875,226037.65625,0.0
1775427315.8391955,236509.90625,718774.625,259934.53125,719349.4375,719201.5625,248085.0625,219560.75,226048.03125,0.0
1775427315.8393028,236518.84375,718777.0,259937.03125,719351.9375,719203.6875,248086.3125,219564.0625,226072.4375,0.0
1775427315.8407123,236522.6875,718777.6875,259939.53125,719352.375,719204.3125,248095.796875,219569.0625,226089.34375,0.0
1775427315.843212,236520.265625,718775.1875,259937.75,719350.3125,719202.1875,248094.359375,219569.0625,226026.578125,0.0
1775427315.8457272,236527.25,718776.0625,259939.71875,719351.4375,719203.0625,248096.59375,219570.578125,226026.75,0.0
1775427315.8482263,236531.0,718778.375,259940.15625,719353.625,719205.6875,248103.125,219575.765625,226038.203125,0.0
