timestamps,Fz,C3,Cz,C4,Pz,PO7,Oz,PO8,stim
1763590779.81203,251983.03125,242377.40625,7714.1240234375,689492.1875,688279.375,538658.625,686950.125,687257.875,0.0
1763590779.814432,251982.5,242386.703125,7720.650390625,689441.625,688188.25,538734.75,686914.5625,687157.8125,0.0
1763590779.8483083,252025.9375,242381.25,7712.33544921875,689426.25,688271.5625,538934.625,686975.875,687194.375,0.0
1763590779.8483582,252037.296875,242382.6875,7714.57080078125,689382.1875,688322.5625,539113.3125,687007.75,687222.1875,0.0
1763590779.855517,252017.0,242389.390625,7719.93505859375,689303.75,688274.6875,539218.625,686968.3125,687183.3125,0.0
1763590779.8555665,251993.671875,242393.140625,7719.93505859375,689223.875,688149.5625,539269.3125,686911.875,687057.0625,0.0
1763590779.8583164,252037.390625,242388.9375,7711.53125,689212.75,688230.4375,539471.6875,686993.6875,687093.0,0.0
1763590779.8604932,252040.34375,242390.828125,7706.255859375,689158.6875,688289.875,539655.8125,687029.4375,687123.125,0.0
1763590779.8633552,252018.796875,242395.5625,7710.54736328125,689081.3125,688246.125,539758.0,686985.4375,687085.125,0.0
1763590779.8656228,251994.03125,242404.046875,7718.8623046875,689000.25,688115.5625,539805.75,686876.375,686961.0625,0.0
1763590779.870777,252035.15625,242394.3125,7712.33544921875,688986.5625,688163.8125,539981.4375,686904.25,686970.25,0.0
1763590779.8729813,252045.96875,242394.9375,7709.474609375,688944.4375,688236.0,540177.0625,686953.1875,687008.0,0.0
1763590779.875746,252031.9375,242397.796875,7707.2392578125,688877.3125,688214.8125,540298.125,686941.0,686980.25,0.0
1763590779.8758092,251977.671875,242394.390625,7696.60009765625,688764.375,688057.5625,540318.6875,686924.1875,686731.875,0.0
1763590779.8783133,251996.53125,242374.546875,7675.052734375,688724.875,688051.75,540448.125,686944.6875,686808.4375,0.0
1763590779.8783867,252011.8125,242365.515625,7662.5361328125,688676.5,688127.0,540642.125,686986.875,687220.5,0.0
1763590779.8809123,252015.3125,242376.609375,7669.6884765625,688627.3125,688139.25,540788.75,686991.1875,687317.8125,0.0
1763590779.8831952,251984.28125,242391.984375,7680.0595703125,688539.6875,688024.1875,540845.125,686914.5625,687213.625,0.0
1763590779.8855684,252013.421875,242393.859375,7680.5068359375,688512.5,688007.5625,540973.125,686953.6875,687171.0,0.0
1763590779.8856196,252045.703125,242396.09375,7680.8642578125,688488.8125,688107.3125,541186.25,687026.4375,687226.0625,0.0
1763590779.8883288,252040.96875,242401.46875,7678.271484375,688432.125,688120.75,541328.3125,687026.75,687227.9375,0.0
1763590779.8984957,252008.234375,242410.40625,7681.22216796875,688341.3125,688014.875,541391.375,686936.4375,687135.0625,0.0
1763590779.9019823,252024.0625,242417.5625,7688.19580078125,688304.375,687952.9375,541487.9375,686878.8125,687055.9375,0.0
1763590779.9020324,252060.984375,242411.921875,7684.44091796875,688284.625,688037.75,541686.75,686930.75,687093.1875,0.0
1763590779.9080107,252062.25,242407.265625,7679.076171875,688228.6875,688066.0,541842.3125,686944.625,687103.5625,0.0
1763590779.908059,252031.3125,242413.625,7680.685546875,688139.8125,687973.5625,541909.5,686916.25,687023.0,0.0
1763590779.9105856,252026.5625,242413.53125,7680.8642578125,688079.8125,687877.0,541981.375,686888.1875,686919.375,0.0
1763590779.9169073,252071.09375,242411.828125,7680.14892578125,688066.9375,687970.75,542191.75,686947.9375,686966.875,0.0
1763590779.937056,252068.328125,242407.71875,7674.96337890625,688008.875,688013.4375,542360.125,686970.6875,686985.4375,0.0
1763590779.9371047,252041.765625,242412.09375,7677.37744140625,687928.5,687946.125,542444.3125,686926.875,686902.3125,0.0
1763590779.9396353,252003.765625,242397.4375,7661.19482421875,687838.25,687803.5625,542475.0,686932.25,686655.5625,0.0
1763590779.9397097,252020.9375,242371.0625,7633.478515625,687802.1875,687841.6875,542628.875,686972.125,686858.3125,0.0
1763590779.9445152,252027.375,242367.84375,7626.326171875,687752.5625,687896.25,542803.3125,687000.6875,687259.5,0.0
1763590779.9468007,252020.765625,242381.078125,7634.81982421875,687692.6875,687869.875,542918.375,686975.8125,687317.875,0.0
1763590779.95081,251993.40625,242391.359375,7639.37939453125,687613.125,687735.875,542960.0,686923.5,687189.125,0.0
1763590779.9508576,252038.28125,242394.390625,7638.66455078125,687606.125,687784.3125,543135.5,686982.75,687198.0,0.0
1763590779.9544976,252054.28125,242395.734375,7637.05517578125,687566.875,687869.25,543340.0,687039.5625,687245.4375,0.0
1763590779.966899,252044.1875,242400.828125,7636.1611328125,687502.875,687855.375,543463.5625,687022.8125,687230.625,0.0
1763590779.9669473,252002.15625,242410.140625,7638.75390625,687404.0625,687707.25,543492.0625,686932.625,687092.5,0.0
1763590780.0032504,252037.5625,242407.546875,7634.9091796875,687385.375,687712.0625,543635.875,686959.0625,687064.375,0.0
1763590780.0033102,252061.625,242406.828125,7632.763671875,687354.1875,687796.125,543838.8125,687013.25,687106.875,0.0
1763590780.003327,252060.90625,242414.515625,7635.7138671875,687300.25,687802.1875,543979.1875,687010.5,687107.4375,0.0
1763590780.0059264,252025.234375,242426.046875,7641.7041015625,687209.0,687680.625,544031.375,686921.875,686998.625,0.0
1763590780.0059764,252045.609375,242421.671875,7636.9658203125,687176.3125,687648.875,544148.125,686929.75,686942.25,0.0
1763590780.0082877,252072.078125,242413.53125,7626.1474609375,687147.5625,687742.5625,544355.5,686993.5,686990.3125,0.0
1763590780.0108073,252069.84375,242411.46875,7620.87255859375,687085.75,687764.1875,544506.25,687002.4375,686999.75,0.0
1763590780.0130315,252037.921875,242423.359375,7630.79638671875,686996.4375,687662.0625,544567.9375,686924.9375,686895.875,0.0
1763590780.015509,252034.53125,242415.3125,7622.9287109375,686943.625,687578.3125,544641.875,686918.5625,686689.8125,0.0
1763590780.0183506,252046.6875,242386.078125,7592.3515625,686902.0625,687643.9375,544820.25,686974.125,686877.375,0.0
1763590780.02132,252043.109375,242384.296875,7588.328125,686849.75,687672.75,544975.625,686984.1875,687263.9375,0.0
1763590780.0231917,252022.28125,242401.546875,7600.1298828125,686779.1875,687600.5,545061.8125,686941.5,687285.5,0.0
1763590780.0256588,252013.703125,242408.34375,7602.63330078125,686718.125,687500.6875,545128.4375,686935.1875,687178.5625,0.0
1763590780.0282624,252063.859375,242408.53125,7603.974609375,686706.5,687587.1875,545329.5,686998.0,687218.0,0.0
1763590780.0308063,252072.25,242409.515625,7603.7060546875,686658.4375,687638.3125,545507.5625,687028.5625,687243.5,0.0
1763590780.0329862,252055.0,242417.90625,7608.80224609375,686604.875,687596.3125,545617.8125,686992.0,687209.0625,0.0
1763590780.0330396,252037.03125,242427.5625,7615.59716796875,686552.1875,687474.0625,545671.0,686891.3125,687089.4375,0.0
1763590780.035447,252082.09375,242421.578125,7610.23291015625,686575.375,687542.4375,545859.0625,686933.3125,687114.75,0.0
1763590780.0393155,252084.421875,242411.296875,7597.62646484375,686670.3125,687598.0625,546035.4375,686966.9375,687139.0625,0.0
