timestamps,Fz,C3,Cz,C4,Pz,PO7,Oz,PO8,stim
1771965298.0559206,282575.78125,707990.9375,708517.9375,708540.5625,708403.375,708430.1875,708777.1875,709128.625,0.0
1771965298.058328,282558.875,707932.375,708459.3125,708481.5625,708344.625,708371.4375,708718.25,709069.5,0.0
1771965298.0609326,282620.46875,707661.4375,708189.0625,708210.5,708073.6875,708100.4375,708447.4375,708799.0625,0.0
1771965298.0636256,282650.96875,707690.6875,708218.375,708240.0,708103.625,708130.0,708477.125,708828.5,0.0
1771965298.0683272,282595.25,707961.5,708488.9375,708510.625,708374.3125,708400.875,708747.75,709098.9375,0.0
1771965298.0709436,282550.03125,707969.375,708496.125,708518.25,708382.0625,708408.25,708755.0,709106.6875,0.0
1771965298.0738864,282603.65625,707699.5625,708225.875,708247.9375,708111.875,708137.75,708484.8125,708836.375,0.0
1771965298.0739567,282648.5625,707659.0625,708185.4375,708207.75,708071.375,708097.5625,708444.625,708796.125,0.0
1771965298.076115,282590.15625,707918.3125,708445.1875,708467.25,708330.5,708357.3125,708704.0,709055.5625,0.0
1771965298.0761616,282536.6875,707998.4375,708525.125,708547.5625,708410.6875,708437.5625,708784.125,709136.0625,0.0
1771965298.078901,282587.84375,707745.9375,708272.8125,708295.4375,708158.375,708185.1875,708531.625,708883.5625,0.0
1771965298.0789728,282649.28125,707637.5,708164.625,708186.6875,708050.375,708076.8125,708423.375,708775.25,0.0
1771965298.0813842,282606.0,707872.0625,708398.6875,708421.0625,708284.375,708311.0,708658.0,709009.375,0.0
1771965298.0814524,282535.53125,708017.5625,708543.875,708566.0625,708429.625,708456.25,708803.1875,709154.625,0.0
1771965298.0835936,282570.15625,707797.875,708324.75,708346.75,708210.25,708236.625,708583.5625,708935.125,0.0
1771965298.0863883,282642.1875,707627.5,708154.0625,708176.25,708039.625,708066.1875,708412.9375,708764.375,0.0
1771965298.0864587,282615.28125,707827.5,708354.0625,708376.5,708239.9375,708266.375,708612.8125,708964.8125,0.0
1771965298.1214993,282549.65625,708026.25,708552.8125,708575.1875,708438.6875,708464.875,708811.5625,709163.5,0.0
1771965298.128542,282566.84375,707853.3125,708379.8125,708402.25,708265.6875,708291.875,708638.6875,708990.0625,0.0
1771965298.1285903,282638.34375,707633.5625,708160.4375,708182.625,708046.1875,708072.625,708419.625,708770.875,0.0
1771965298.1285992,282615.5625,707782.3125,708309.75,708331.625,708195.1875,708221.5625,708568.3125,708920.1875,0.0
1771965298.131375,282545.03125,708022.0,708549.0625,708571.0625,708434.4375,708461.1875,708807.9375,709159.75,0.0
1771965298.137172,282544.03125,707905.5,708431.9375,708454.125,708317.3125,708344.1875,708691.0625,709042.8125,0.0
1771965298.1401367,282614.5,707651.25,708178.5,708200.6875,708064.0625,708090.5,708437.3125,708788.875,0.0
1771965298.1425836,282627.375,707736.625,708264.5625,708286.5,708149.875,708176.3125,708523.0,708874.8125,0.0
1771965298.145029,282565.59375,707999.25,708526.5625,708548.8125,708412.0,708438.5,708785.5625,709137.125,0.0
1771965298.1476276,282536.0625,707947.5625,708474.25,708496.6875,708360.0625,708386.875,708733.4375,709085.625,0.0
1771965298.1503558,282601.78125,707677.625,708204.9375,708226.75,708090.125,708117.125,708463.625,708815.25,0.0
1771965298.157502,282631.84375,707699.0625,708226.6875,708248.375,708112.0,708138.625,708485.125,708836.6875,0.0
1771965298.1634803,282568.8125,707970.875,708498.0,708519.9375,708383.5,708410.0625,708756.9375,709108.9375,0.0
1771965298.1659584,282531.96875,707991.6875,708518.0625,708540.875,708403.625,708430.375,708777.5,709129.3125,0.0
1771965298.171321,282588.125,707721.875,708248.9375,708271.375,708134.5,708161.25,708508.3125,708859.875,0.0
1771965298.1713936,282632.28125,707673.0,708200.375,708222.75,708085.9375,708112.5,708459.375,708811.0625,0.0
1771965298.1737032,282580.96875,707932.6875,708459.5,708481.875,708345.3125,708371.625,708718.3125,709070.25,0.0
1771965298.1763792,282527.84375,708019.0,708545.5,708568.125,708431.25,708458.0625,708804.625,709156.5,0.0
1771965298.1764517,282579.875,707768.3125,708295.0,708317.0625,708180.75,708207.125,708553.75,708905.875,0.0
1771965298.178444,282643.375,707652.875,708180.0,708201.9375,708065.6875,708091.9375,708438.3125,708790.5625,0.0
1771965298.178495,282604.375,707887.75,708415.0,708437.125,708300.25,708327.25,708673.375,709025.6875,0.0
