timestamps,Fz,C3,Cz,C4,Pz,PO7,Oz,PO8,stim
1772569215.1889932,258137.984375,710870.375,711366.9375,496199.8125,711277.4375,711304.5,285831.96875,712018.875,0.0
1772569215.191965,258134.5,710872.875,711369.125,496150.625,711279.375,711306.8125,285842.625,712020.6875,0.0
1772569215.2057333,258134.140625,710875.25,711371.375,496124.96875,711281.625,711309.6875,285878.03125,712022.8125,0.0
1772569215.2088232,258129.9375,710869.0,711365.375,495918.53125,711275.25,711303.25,285801.5625,712016.9375,0.0
1772569215.2088573,258134.671875,710868.0,711364.6875,495755.53125,711274.1875,711302.375,285738.375,712016.1875,0.0
1772569215.2106676,258132.625,710873.1875,711369.625,495708.59375,711279.75,711307.125,285745.875,712021.1875,0.0
1772569215.2144892,258128.234375,710875.875,711372.3125,495695.03125,711282.25,711310.0,285788.4375,712023.875,0.0
1772569215.2238052,258127.796875,710871.875,711368.25,495526.65625,711278.5,711306.1875,285735.78125,712020.0625,0.0
1772569215.223834,258127.703125,710870.0625,711366.75,495338.1875,711276.8125,711304.6875,285655.125,712018.25,0.0
1772569215.2254639,258122.0625,710871.0,711367.375,495281.6875,711277.625,711305.3125,285645.5625,712019.125,0.0
1772569215.235746,258108.484375,710873.1875,711369.8125,495278.75,711280.3125,711307.8125,285682.75,712021.625,0.0
1772569215.254332,258116.078125,710871.0,711367.4375,495163.84375,711278.0625,711305.5625,285657.375,712019.5625,0.0
1772569215.2543705,258119.65625,710866.625,711363.1875,494959.8125,711273.5,711301.125,285566.875,712014.9375,0.0
1772569215.2543793,258119.203125,710870.0625,711366.9375,494902.15625,711276.625,711304.3125,285558.84375,712018.625,0.0
1772569215.263942,258116.53125,710874.3125,711371.1875,494893.21875,711281.1875,711308.625,285588.34375,712023.0625,0.0
1772569215.2639933,258117.15625,710871.3125,711368.0625,494809.8125,711278.5,711305.5,285576.0,712019.875,0.0
1772569215.2655516,258125.5625,710865.0,711361.625,494595.21875,711272.25,711299.5,285479.09375,712013.4375,0.0
1772569215.2679632,258129.84375,710867.375,711364.25,494526.90625,711274.375,711302.125,285462.09375,712016.0,0.0
1772569215.2707908,258124.84375,710872.5,711369.125,494515.03125,711279.375,711306.6875,285487.40625,712021.1875,0.0
1772569215.273203,258125.5625,710873.5,711370.3125,494467.46875,711280.125,711307.75,285499.5625,712022.25,0.0
1772569215.2756891,258126.8125,710867.5625,711364.25,494253.40625,711274.3125,711302.125,285405.78125,712016.0,0.0
1772569215.2781951,258119.65625,710870.4375,711366.8125,494154.4375,711277.0625,711305.0625,285370.46875,712018.6875,0.0
1772569215.2826452,258113.046875,710872.5625,711369.0,494121.375,711279.125,711307.125,285382.15625,712021.0,0.0
1772569215.2826788,258109.015625,710873.5625,711369.875,494088.8125,711280.375,711307.8125,285405.15625,712021.625,0.0
1772569215.296069,258109.015625,710868.9375,711366.125,493879.15625,711276.0625,711303.625,285320.375,712017.5625,0.0
1772569215.2961006,258119.203125,710871.625,711368.8125,493749.0625,711278.9375,711306.375,285272.8125,712020.3125,0.0
1772569215.3030877,258117.78125,710874.375,711371.0625,493702.21875,711281.375,711308.875,285278.90625,712023.0,0.0
1772569215.3031185,258113.125,710876.8125,711373.6875,493675.75,711284.5,711311.25,285309.125,712025.375,0.0
1772569215.3031266,258121.171875,710871.625,711368.6875,493472.09375,711279.3125,711305.9375,285236.96875,712020.3125,0.0
1772569215.305735,258122.78125,710868.75,711365.6875,493289.96875,711275.75,711303.0625,285168.21875,712017.1875,0.0
