timestamps,Fz,C3,Cz,C4,Pz,PO7,Oz,PO8,stim
1763252363.2912118,252703.734375,279913.15625,287314.625,266306.03125,242234.453125,226058.484375,233842.890625,273543.875,0.0
1763252363.2961726,252704.09375,279936.3125,287307.8125,266295.84375,242237.40625,226065.015625,233863.0,273540.03125,0.0
1763252363.298515,252704.984375,279951.78125,287300.65625,266286.28125,242235.703125,226064.484375,233867.125,273531.8125,0.0
1763252363.3055165,252704.1875,279938.09375,287303.4375,266289.75,242237.75,226066.71875,233862.375,273537.71875,0.0
1763252363.3055909,252696.59375,279912.96875,287303.0,266289.5625,242237.21875,226063.140625,233856.390625,273547.625,0.0
1763252363.3199224,252700.875,279930.03125,287299.21875,266282.96875,242236.328125,226070.375,233863.90625,273538.78125,0.0
1763252363.3229609,252708.03125,279956.3125,287299.78125,266278.59375,242239.015625,226079.6875,233878.203125,273534.75,0.0
1763252363.3230102,252705.796875,279936.65625,287297.8125,266275.8125,242231.5,226057.328125,233856.125,273528.59375,0.0
1763252363.3247209,252702.21875,279908.40625,287299.78125,266277.78125,242229.53125,226050.09375,233842.890625,273530.8125,0.0
1763252363.3274536,252708.65625,279920.125,287302.71875,266278.5,242237.3125,226061.4375,233860.234375,273539.15625,0.0
1763252363.329684,252719.296875,279952.5625,287302.0,266273.75,242242.3125,226076.734375,233877.671875,273533.96875,0.0
1763252363.3322885,252715.359375,279940.6875,287298.0625,266268.84375,242239.015625,226073.421875,233868.453125,273528.21875,0.0
1763252363.3347225,252712.234375,279916.375,287299.875,266270.0,242239.8125,226068.59375,233858.984375,273538.0625,0.0
1763252363.3372989,252707.3125,279909.65625,287292.71875,266261.25,242236.5,226058.484375,233856.75,273536.71875,0.0
1763252363.3442433,252708.203125,279934.15625,287282.59375,266247.1875,242234.53125,226063.234375,233866.046875,273521.15625,0.0
1763252363.3443167,252704.984375,279927.71875,287277.96875,266242.09375,242230.78125,226060.1875,233860.140625,273517.25,0.0
1763252363.3458009,252697.921875,279902.78125,287278.9375,266244.5,242227.390625,226052.328125,233846.203125,273522.0625,0.0
1763252363.3549256,252693.640625,279896.0625,287279.125,266244.0625,242229.265625,226061.0,233851.921875,273531.09375,0.0
1763252363.363918,252695.421875,279928.25,287273.84375,266234.875,242232.75,226079.6875,233872.578125,273526.53125,0.0
1763252363.3639896,252690.59375,279929.78125,287270.625,266230.65625,242233.734375,226076.375,233867.921875,273521.53125,0.0
1763252363.3688612,252687.46875,279911.53125,287276.96875,266234.78125,242235.171875,226064.84375,233858.53125,273529.40625,0.0
1763252363.3714864,252696.671875,279909.9375,287290.375,266248.09375,242248.21875,226067.34375,233861.75,273545.03125,0.0
1763252363.3715813,252698.015625,279935.75,287283.3125,266236.90625,242249.640625,226076.109375,233876.140625,273535.5625,0.0
1763252363.3736172,252700.515625,279948.09375,287280.8125,266232.625,242254.296875,226090.046875,233890.28125,273533.875,0.0
1763252363.382418,252697.296875,279924.21875,287278.9375,266231.65625,242248.125,226075.125,233869.703125,273533.59375,0.0
1763252363.3942387,252692.921875,279899.65625,287276.34375,266228.78125,242240.625,226054.640625,233850.046875,273532.25,0.0
1763252363.3943105,252695.15625,279918.96875,287268.65625,266217.6875,242236.328125,226058.046875,233856.65625,273519.5625,0.0
1763252363.3961632,252691.84375,279934.4375,287261.40625,266208.5,242235.609375,226068.140625,233871.59375,273513.03125,0.0
1763252363.3987236,252687.828125,279919.3125,287262.84375,266210.8125,242236.59375,226071.71875,233867.03125,273521.0,0.0
1763252363.4124088,252681.125,279891.25,287258.28125,266208.21875,242229.265625,226050.0,233843.875,273523.125,0.0
1763252363.4157453,252687.203125,279910.65625,287255.15625,266203.375,242234.0,226057.328125,233859.421875,273525.09375,0.0
1763252363.4157948,252696.859375,279938.96875,287254.0,266199.09375,242241.875,226074.765625,233882.671875,273528.6875,0.0
1763252363.4158044,252704.71875,279930.84375,287260.96875,266205.96875,242248.75,226079.953125,233880.796875,273540.9375,0.0
1763252363.4187298,252702.84375,279902.6875,287262.9375,266210.09375,242248.21875,226071.453125,233864.4375,273546.125,0.0
1763252363.4212475,252701.0625,279905.90625,287255.78125,266201.59375,242245.265625,226069.75,233862.203125,273535.21875,0.0
1763252363.423454,252706.0625,279933.09375,287250.5,266192.75,242247.765625,226081.734375,233880.625,273527.15625,0.0
1763252363.4260013,252706.0625,279925.125,287252.21875,266194.1875,242248.578125,226083.078125,233879.90625,273533.59375,0.0
1763252363.4374285,252697.296875,279891.6875,287249.25,266191.21875,242240.4375,226069.9375,233854.421875,273531.53125,0.0
1763252363.4404707,252698.375,279895.625,287249.875,266188.09375,242242.5,226071.546875,233857.46875,273529.75,0.0
1763252363.440519,252698.375,279923.15625,287239.6875,266173.4375,242236.140625,226069.3125,233863.71875,273510.1875,0.0
1763252363.442358,252691.40625,279918.40625,287235.75,266167.09375,242231.140625,226063.234375,233860.328125,273504.71875,0.0
1763252363.448637,252688.625,279900.09375,287244.25,266175.21875,242234.71875,226060.375,233854.328125,273516.0625,0.0
1763252363.4527695,252693.09375,279899.46875,287252.75,266182.5625,242242.671875,226062.875,233857.015625,273526.0,0.0
1763252363.4528403,252705.078125,279940.59375,287258.65625,266182.5625,242255.015625,226089.96875,233888.671875,273525.375,0.0
1763252363.4558468,252702.9375,279943.8125,287253.8125,266175.84375,242249.375,226079.046875,233876.328125,273513.5625,0.0
