timestamps,Fz,C3,Cz,C4,Pz,PO7,Oz,PO8,stim
1763597532.4060943,219813.6875,205274.046875,145714.0625,219850.25,195206.375,189757.015625,197552.953125,199477.53125,0.0
1763597532.4085865,219851.234375,205314.28125,145780.671875,219872.15625,195346.5625,189778.03125,197786.484375,199619.0625,0.0
1763597532.4086125,219838.625,205313.65625,145811.703125,219829.59375,195441.515625,189771.5,198063.5625,199713.5625,0.0
1763597532.4110892,219810.015625,205284.0625,145758.328125,219842.296875,195328.234375,189754.78125,197873.390625,199600.46875,0.0
1763597532.4137335,219810.375,205277.359375,145705.484375,219839.609375,195208.796875,189757.109375,197568.6875,199480.203125,0.0
1763597532.4137416,219844.796875,205313.84375,145758.328125,219865.53125,195320.453125,189777.9375,197729.171875,199599.125,0.0
1763597532.4500153,219845.59375,205325.1875,145809.90625,219853.46875,195449.5625,189780.53125,198051.9375,199733.328125,0.0
1763597532.4500313,219817.703125,205298.90625,145773.703125,219861.15625,195371.328125,189769.359375,197944.90625,199651.421875,0.0
1763597532.452342,219808.671875,205278.703125,145705.3125,219851.40625,195226.84375,189759.703125,197604.09375,199508.015625,0.0
1763597532.4523585,219829.859375,205298.90625,145725.0625,219839.34375,195284.78125,189770.15625,197664.4375,199566.75,0.0
1763597532.4573083,219848.109375,205321.703125,145795.609375,219854.546875,195438.828125,189776.421875,198008.84375,199722.5,0.0
1763597532.46978,219828.609375,205301.3125,145776.828125,219836.921875,195392.34375,189762.65625,197985.40625,199669.578125,0.0
1763597532.472603,219816.28125,205278.25,145708.609375,219849.359375,195240.703125,189758.09375,197641.546875,199519.09375,0.0
1763597532.4773097,219843.90625,205303.828125,145724.265625,219867.328125,195274.5,189779.015625,197627.78125,199556.03125,0.0
1763597532.479803,219866.25,205333.78125,145795.875,219853.203125,195431.953125,189785.453125,197965.03125,199706.671875,0.0
1763597532.4826615,219861.96875,205328.59375,145803.203125,219857.046875,195436.328125,189787.59375,198041.203125,199707.65625,0.0
1763597532.4846513,219862.3125,205302.84375,145735.078125,219871.4375,195280.9375,189777.765625,197709.328125,199551.375,0.0
1763597532.5185661,219873.140625,205303.90625,145713.359375,219863.390625,195255.90625,189778.296875,197587.015625,199526.34375,0.0
1763597532.5212245,219885.921875,205321.25,145768.609375,219835.046875,195402.53125,189779.46875,197902.171875,199674.9375,0.0
1763597532.5288098,219883.859375,205313.03125,145788.71875,219855.703125,195441.515625,189769.453125,198057.390625,199713.375,0.0
1763597532.5313678,219867.328125,205287.109375,145726.40625,219862.59375,195292.46875,189758.09375,197754.296875,199558.890625,0.0
1763597532.5335612,219870.015625,205294.53125,145695.296875,219838.0,195230.0625,189763.90625,197554.5625,199494.15625,0.0
1763597532.5365,219886.90625,205324.828125,145759.84375,219854.890625,195381.4375,189778.125,197843.171875,199655.0,0.0
1763597532.5388308,219871.34375,205317.40625,145784.25,219830.578125,195448.84375,189770.25,198068.46875,199719.109375,0.0
1763597532.5526009,219857.484375,205293.890625,145730.78125,219848.90625,195321.171875,189764.359375,197824.484375,199584.90625,0.0
1763597532.552625,219849.71875,205278.703125,145677.140625,219837.375,195217.28125,189757.734375,197550.359375,199483.15625,0.0
1763597532.5563807,219875.375,205317.140625,145739.90625,219853.828125,195351.03125,189779.546875,197776.5625,199623.53125,0.0
1763597532.5563977,219881.8125,205335.109375,145796.0625,219860.703125,195470.125,189784.734375,198069.8125,199741.71875,0.0
1763597532.556406,219867.765625,205317.859375,145753.234375,219862.59375,195369.015625,189783.390625,197896.28125,199635.953125,0.0
1763597532.5564127,219860.359375,205300.328125,145691.53125,219856.5,195239.015625,189770.796875,197575.84375,199503.09375,0.0
1763597532.5598624,219864.015625,205318.84375,145719.515625,219846.5,195326.453125,189769.890625,197711.03125,199595.90625,0.0
1763597532.559878,219864.828125,205334.578125,145778.078125,219844.265625,195458.0625,189774.90625,198037.53125,199731.0,0.0
1763597532.5598848,219850.25,205316.703125,145747.0625,219836.125,195383.21875,189770.96875,197939.734375,199650.265625,0.0
1763597532.5598907,219850.78125,205301.5,145686.0,219843.09375,195242.140625,189765.25,197598.109375,199503.546875,0.0
1763597532.5652518,219882.703125,205336.453125,145721.765625,219861.421875,195317.234375,189790.375,197670.609375,199584.8125,0.0
1763597532.5673075,219913.109375,205374.8125,145802.84375,219863.484375,195485.5,189814.6875,198034.765625,199754.328125,0.0
1763597532.570188,219906.75,205357.5625,145792.65625,219873.5,195450.09375,189808.875,198026.0,199713.109375,0.0
1763597532.5748937,219881.265625,205319.015625,145710.3125,219883.59375,195282.640625,189786.796875,197669.359375,199546.90625,0.0
1763597532.57491,219885.296875,205316.34375,145695.03125,219842.296875,195279.15625,189775.078125,197615.453125,199542.078125,0.0
1763597532.5773013,219896.296875,205345.75,145763.875,219841.484375,195440.171875,189788.21875,197961.453125,199707.03125,0.0
1763597532.58486,219885.75,205345.84375,145772.453125,219847.125,195451.265625,189794.578125,198049.703125,199713.828125,0.0
1763597532.5873213,219874.390625,205318.125,145701.015625,219856.421875,195293.8125,189781.421875,197714.421875,199550.390625,0.0
1763597532.594835,219875.90625,205308.65625,145674.015625,219855.703125,195253.3125,189767.578125,197574.5,199515.34375,0.0
1763597532.5998178,219895.40625,205333.234375,145734.1875,219832.8125,195399.765625,189776.15625,197889.921875,199667.515625,0.0
1763597532.6023023,219894.59375,205340.03125,145760.734375,219830.84375,195449.828125,189779.546875,198059.4375,199718.03125,0.0
1763597532.604823,219865.0,205308.734375,145688.234375,219824.328125,195297.84375,189767.390625,197761.453125,199565.140625,0.0
1763597532.6073055,219862.140625,205293.359375,145650.40625,219837.546875,195230.875,189758.359375,197554.03125,199503.984375,0.0
1763597532.6098344,219886.015625,205326.53125,145719.875,219861.96875,195385.1875,189776.0625,197843.078125,199666.265625,0.0
1763597532.6098504,219874.125,205322.953125,145744.640625,219815.203125,195452.515625,189769.984375,198068.03125,199726.703125,0.0
1763597532.6123064,219860.4375,205304.265625,145696.1875,219841.3125,195332.890625,189771.5,197836.734375,199604.125,0.0
1763597532.6173568,219849.171875,205288.09375,145638.34375,219836.125,195222.65625,189759.078125,197551.875,199491.03125,0.0
1763597532.623554,219884.3125,205326.53125,145698.59375,219858.109375,195353.8125,189773.828125,197770.484375,199624.78125,0.0
1763597532.623568,219892.09375,205343.515625,145747.421875,219831.203125,195466.546875,189781.421875,198057.390625,199731.890625,0.0
1763597532.626053,219893.875,205340.921875,145723.1875,219838.53125,195379.296875,189793.140625,197901.546875,199633.984375,0.0
1763597532.6285503,219896.828125,205331.265625,145669.71875,219853.640625,195259.03125,189795.203125,197585.765625,199510.515625,0.0
1763597532.6310697,219914.265625,205351.125,145707.984375,219873.234375,195352.28125,189801.90625,197720.953125,199609.484375,0.0
1763597532.6336389,219910.15625,205367.921875,145764.3125,219857.484375,195488.640625,189810.21875,198054.171875,199747.53125,0.0
1763597532.633655,219882.96875,205343.34375,145726.578125,219844.703125,195412.28125,189798.234375,197960.921875,199668.40625,0.0
1763597532.638585,219866.609375,205317.5,145648.09375,219821.90625,195253.5,189780.71875,197605.4375,199503.640625,0.0
1763597532.6386018,219895.484375,205352.8125,145680.625,219849.171875,195323.328125,189804.671875,197667.296875,199579.09375,0.0
1763597532.6410952,219919.625,205385.71875,145754.921875,219858.109375,195484.078125,189823.984375,198021.171875,199739.484375,0.0
1763597532.6411116,219904.515625,205364.53125,145737.046875,219849.984375,195442.59375,189810.21875,198012.421875,199693.890625,0.0
1763597532.6436827,219888.0625,205328.40625,145661.046875,219853.46875,195281.03125,189790.453125,197659.078125,199531.265625,0.0
1763597532.6436992,219890.75,205335.65625,145655.5,219847.203125,195291.484375,189793.046875,197609.09375,199542.171875,0.0
1763597532.6535656,219904.875,205367.296875,145727.84375,219835.765625,195454.921875,189811.109375,197960.015625,199702.75,0.0
1763597532.6939044,219897.546875,205365.953125,145739.546875,219849.359375,195469.234375,189814.6875,198053.625,199716.953125,0.0
1763597532.6939359,219879.578125,205339.9375,145672.21875,219864.546875,195317.0625,189803.328125,197725.6875,199564.703125,0.0
1763597532.6939447,219887.0,205337.4375,145645.671875,219855.703125,195281.75,189796.8125,197586.03125,199533.046875,0.0
1763597532.697424,219902.640625,205355.859375,145701.109375,219831.109375,195425.328125,189799.578125,197895.203125,199680.125,0.0
1763597532.697457,219892.53125,205355.859375,145727.21875,219845.875,195479.609375,189805.296875,198072.140625,199734.9375,0.0
1763597532.6974735,219871.96875,205330.734375,145664.890625,219853.734375,195338.875,189797.875,197784.25,199589.46875,0.0
1763597532.699901,219862.859375,205316.609375,145616.53125,219830.40625,195259.84375,189787.859375,197563.5,199514.0,0.0
1763597532.7023687,219879.578125,205347.09375,145677.953125,219840.765625,195403.703125,189799.21875,197834.671875,199662.15625,0.0
1763597532.7050936,219878.953125,205359.34375,145722.5625,219851.328125,195492.921875,189805.390625,198079.109375,199753.34375,0.0
1763597532.7077649,219861.15625,205335.203125,145665.25,219840.6875,195359.0,189793.234375,197838.78125,199613.6875,0.0
1763597532.710144,219861.78125,205321.53125,145610.890625,219835.046875,195250.71875,189785.28125,197552.140625,199502.375,0.0
1763597532.7128289,219897.71875,205361.671875,145669.8125,219849.265625,195382.0625,189808.34375,197767.265625,199639.171875,0.0
1763597532.717384,219903.171875,205375.96875,145721.046875,219838.0,195497.578125,189814.515625,198068.109375,199751.109375,0.0
1763597532.720034,219877.78125,205347.8125,145672.9375,219841.84375,195389.296875,189798.78125,197897.34375,199639.625,0.0
1763597532.724856,219863.390625,205319.109375,145606.0625,219840.6875,195251.078125,189779.640625,197563.234375,199501.671875,0.0
1763597532.7298856,219887.53125,205350.40625,145648.53125,219844.34375,195347.015625,189799.21875,197698.234375,199601.53125,0.0
1763597532.7299025,219915.0625,205389.109375,145729.171875,219853.203125,195505.71875,189827.828125,198057.65625,199759.15625,0.0
1763597532.7360494,219896.296875,205368.375,145698.328125,219846.40625,195437.3125,189818.71875,197971.28125,199682.71875,0.0
1763597532.7385595,219878.6875,205335.109375,145621.265625,219838.53125,195275.84375,189792.34375,197604.453125,199515.171875,0.0
1763597532.7410748,219888.34375,205353.265625,145638.25,219850.0625,195327.515625,189800.203125,197645.578125,199572.5625,0.0
1763597532.7437665,219891.734375,205373.65625,145695.921875,219816.8125,195473.171875,189807.265625,197990.0625,199719.640625,0.0
1763597532.7437828,219873.765625,205353.4375,145682.0625,219812.78125,195439.8125,189797.703125,197992.75,199679.140625,0.0
1763597532.7460885,219863.84375,205328.3125,145615.28125,219826.5625,195285.140625,189789.296875,197650.140625,199527.6875,0.0
1763597532.7461028,219895.21875,205351.03125,145629.578125,219859.640625,195307.671875,189802.890625,197607.671875,199556.46875,0.0
1763597532.7523618,219904.78125,205375.34375,145695.03125,219842.65625,195461.8125,189804.859375,197941.78125,199708.28125,0.0
1763597532.7586024,219880.640625,205365.328125,145694.21875,219823.609375,195466.375,189800.828125,198033.421875,199707.296875,0.0
1763597532.7586188,219869.296875,205343.96875,145634.234375,219845.421875,195321.796875,189798.421875,197716.5625,199558.53125,0.0
1763597532.762321,219878.859375,205351.03125,145615.0,219836.921875,195291.484375,189804.234375,197576.28125,199527.859375,0.0
1763597532.7686012,219902.546875,205381.515625,145682.953125,219842.734375,195446.25,189816.03125,197887.6875,199686.921875,0.0
1763597532.7686224,219896.390625,205378.203125,145706.375,219842.828125,195496.234375,189809.140625,198064.890625,199739.046875,0.0
1763597532.8024535,219867.234375,205342.625,145630.828125,219810.734375,195339.328125,189791.171875,197772.625,199577.21875,0.0
1763597532.806334,219882.078125,205349.15625,145602.578125,219832.453125,195276.734375,189799.046875,197559.75,199515.171875,0.0
1763597532.806367,219910.421875,205386.875,145670.4375,219844.078125,195424.078125,189818.625,197830.296875,199665.375,0.0
1763597532.806377,219904.703125,205391.796875,145707.28125,219827.71875,195506.34375,189818.0,198074.640625,199743.0625,0.0
1763597532.8090234,219878.046875,205358.359375,145647.109375,219832.015625,195377.328125,189804.9375,197843.171875,199613.15625,0.0
1763597532.8113368,219881.546875,205350.671875,145598.734375,219841.125,195274.765625,189803.6875,197560.546875,199508.375,0.0
1763597532.8161385,219891.828125,205372.390625,145637.265625,219827.453125,195385.1875,189808.703125,197758.765625,199627.546875,0.0
1763597532.818902,219902.546875,205395.015625,145701.109375,219844.703125,195509.5625,189821.21875,198068.5625,199753.34375,0.0
